,Angpt2,Irs2,Jun,Klf2,Ucp1,Cebpa,Klf15,Rxra,Klf3,Cebpd,Ncor2,Taz,Lpl,Klf4,Hsp90ab1,Actb,Lmna,Rb1,Lipe,Adrb2,Adipoq,Sirt2,Foxo1,Irs1,Pparg
Angpt2,1.0,0.8199590459757676,0.884070827662516,0.7868069631308647,-0.475806407255293,0.6992987483295836,0.7897914246426678,0.7671994038215506,0.762644862154701,0.7076150026519219,0.7940592430384124,0.693193613256728,0.7554118110671457,0.7412810611033667,0.7456077500944618,0.7177132457309314,0.7006342682886695,0.6977950390113529,0.7441158661141937,0.6056787219923779,0.6433214726248617,0.7195248951375988,0.7189800622374767,0.7496369979687075,0.6489300603119271
Irs2,0.8199590459757676,1.0,0.9337395142888544,0.843706393280132,-0.48484622450624776,0.7358422009134075,0.8568654736719631,0.7840611747197047,0.8109280262309387,0.8653921797238767,0.8248841211619992,0.7253834627304364,0.7417989513462037,0.781813344115154,0.76438365053199,0.7308744384086008,0.7375873706641347,0.7205219466522154,0.7798967515267888,0.6752787132133193,0.6641354011908294,0.7437385428965819,0.7905945442008832,0.7907575194477766,0.6645518146578592
Jun,0.884070827662516,0.9337395142888544,1.0,0.9138312710009815,-0.41822746095291463,0.816233736507948,0.8740067662053567,0.8781582697699014,0.8887139981041551,0.9082485101463365,0.9026070905445105,0.7190452076470529,0.8071015569018007,0.8217461129441278,0.8011292809421865,0.7588527174118007,0.7923072852073693,0.7668940866950215,0.8198504930938452,0.7237053817839367,0.7105878355887271,0.7708428587262531,0.780202995732365,0.7907604176524158,0.7440219781781859
Klf2,0.7868069631308647,0.843706393280132,0.9138312710009815,1.0,-0.2308759775570215,0.6369350157296142,0.9127163225511046,0.8270958278233619,0.9500998121837091,0.8827638422220399,0.8398563811056031,0.7921649536760362,0.8502234261625573,0.9393242801636354,0.8225805035052134,0.8349172083548246,0.8960160850113095,0.8805417505548849,0.8911659657246943,0.840468695444783,0.8233513003213218,0.864957342690164,0.7548250333510079,0.8452601845125467,0.8802357375125444
Ucp1,-0.475806407255293,-0.48484622450624776,-0.41822746095291463,-0.2308759775570215,1.0,-0.4407318705115295,-0.351895396223647,-0.341887131132116,-0.19256210702304055,-0.10641317826046459,-0.28254789483194176,-0.1368813928459686,-0.3372354832571577,-0.133536570291796,-0.3220604451750468,-0.29088252070126547,-0.15293399386157344,-0.15116848527353238,-0.31057107687660784,0.09120874890983044,-0.241812647016377,-0.24067826863590278,-0.3218052221892288,-0.23364549629059667,-0.1330050396163384
Cebpa,0.6992987483295836,0.7358422009134075,0.816233736507948,0.6369350157296142,-0.4407318705115295,1.0,0.5428350866623288,0.7744646776164297,0.5821637269590852,0.7645097838050355,0.6942034098650339,0.30064767631796857,0.5345284039910388,0.45840706634020983,0.474354538047074,0.403084046246296,0.41882721010329654,0.38129525639556694,0.5363699231597497,0.326339901910211,0.3938579687532634,0.3829464313676123,0.44125979679624666,0.3687771908750375,0.39028841870940667
Klf15,0.7897914246426678,0.8568654736719631,0.8740067662053567,0.9127163225511046,-0.351895396223647,0.5428350866623288,1.0,0.831425042128509,0.9011312737484487,0.7844565040207278,0.8078398227921277,0.8959556414682331,0.9427225803933399,0.941500916288154,0.9038339802510114,0.9417135117080309,0.9394132549334029,0.9529388638182134,0.9640983416889557,0.8319733705985496,0.9197292771863009,0.9450034681815115,0.8773471572421158,0.942937750161436,0.9192249218393167
Rxra,0.7671994038215506,0.7840611747197047,0.8781582697699014,0.8270958278233619,-0.341887131132116,0.7744646776164297,0.831425042128509,1.0,0.88734262324773,0.7852334576541871,0.8953874795365566,0.7370339495940292,0.884815251224741,0.8147787086664666,0.8892273270404855,0.841026872412007,0.8438614636077911,0.8014630388654068,0.8786300586747432,0.568610302997011,0.8035571945518892,0.8125076525932724,0.8080483585163994,0.747871974595142,0.8146774377399917
Klf3,0.762644862154701,0.8109280262309387,0.8887139981041551,0.9500998121837091,-0.19256210702304055,0.5821637269590852,0.9011312737484487,0.88734262324773,1.0,0.837823672954985,0.9107146886308967,0.877784474730293,0.8828676784120117,0.9559235321010333,0.9302388977235957,0.9053932321546977,0.9519953829523741,0.9194540269081626,0.8935255818091692,0.8108793344308171,0.85116448666815,0.9192398759620972,0.8654569129978525,0.8834194443474828,0.9235825783350137
Cebpd,0.7076150026519219,0.8653921797238767,0.9082485101463365,0.8827638422220399,-0.10641317826046459,0.7645097838050355,0.7844565040207278,0.7852334576541871,0.837823672954985,1.0,0.815496249390535,0.671268854860599,0.6824741050785592,0.7917771731083636,0.6696287950346593,0.6470854548602294,0.7351650332145281,0.7111051670925214,0.7253685674581601,0.787858917756096,0.6154253604806447,0.6734547106819969,0.6707251314294455,0.6970810656070349,0.678802072214177
Ncor2,0.7940592430384124,0.8248841211619992,0.9026070905445105,0.8398563811056031,-0.28254789483194176,0.6942034098650339,0.8078398227921277,0.8953874795365566,0.9107146886308967,0.815496249390535,1.0,0.767909797328353,0.7708306951996015,0.7950517258483024,0.8703219796617254,0.7836839397122051,0.8100390130597738,0.7608532385907983,0.7764478517357442,0.6393743030594661,0.6809242762532013,0.7893447857070736,0.8727048921494768,0.776901667008869,0.753824033004003
Taz,0.693193613256728,0.7253834627304364,0.7190452076470529,0.7921649536760362,-0.1368813928459686,0.30064767631796857,0.8959556414682331,0.7370339495940292,0.877784474730293,0.671268854860599,0.767909797328353,1.0,0.8638935302152482,0.9241240412675462,0.9345463176523953,0.9481760601227601,0.9369505157192679,0.9479127029057465,0.8713301001508652,0.8120784221529878,0.8726581727802534,0.9641894687058653,0.9285491566251183,0.9525318114458091,0.8873245331234673
Lpl,0.7554118110671457,0.7417989513462037,0.8071015569018007,0.8502234261625573,-0.3372354832571577,0.5345284039910388,0.9427225803933399,0.884815251224741,0.8828676784120117,0.6824741050785592,0.7708306951996015,0.8638935302152482,1.0,0.9088513960543093,0.9263308163166829,0.9633212974120372,0.9441458797639251,0.9511170460097671,0.9847592801250725,0.7066856778448173,0.9757101069765529,0.9428108711420335,0.8204763495156483,0.8959208082571721,0.9498973274974952
Klf4,0.7412810611033667,0.781813344115154,0.8217461129441278,0.9393242801636354,-0.133536570291796,0.45840706634020983,0.941500916288154,0.8147787086664666,0.9559235321010333,0.7917771731083636,0.7950517258483024,0.9241240412675462,0.9088513960543093,1.0,0.909071584267932,0.9395119585852321,0.9803439835041663,0.9743789822765586,0.935163077933703,0.8796805411288698,0.9092228329033459,0.9554720354700958,0.8393866627709788,0.9242646359000847,0.9573575261121371
Hsp90ab1,0.7456077500944618,0.76438365053199,0.8011292809421865,0.8225805035052134,-0.3220604451750468,0.474354538047074,0.9038339802510114,0.8892273270404855,0.9302388977235957,0.6696287950346593,0.8703219796617254,0.9345463176523953,0.9263308163166829,0.909071584267932,1.0,0.9730323064013524,0.9488367911075971,0.9290012172608543,0.9167259873399423,0.6857893760895701,0.8979402816744169,0.9642556269691951,0.9510955682385586,0.9176433583619428,0.9122057247800394
Actb,0.7177132457309314,0.7308744384086008,0.7588527174118007,0.8349172083548246,-0.29088252070126547,0.403084046246296,0.9417135117080309,0.841026872412007,0.9053932321546977,0.6470854548602294,0.7836839397122051,0.9481760601227601,0.9633212974120372,0.9395119585852321,0.9730323064013524,1.0,0.9745690509576693,0.9769543632807539,0.9597214055050378,0.7458317589603154,0.9630389393491038,0.9873876834804521,0.9064872256525568,0.938393434629499,0.9590227709474954
Lmna,0.7006342682886695,0.7375873706641347,0.7923072852073693,0.8960160850113095,-0.15293399386157344,0.41882721010329654,0.9394132549334029,0.8438614636077911,0.9519953829523741,0.7351650332145281,0.8100390130597738,0.9369505157192679,0.9441458797639251,0.9803439835041663,0.9488367911075971,0.9745690509576693,1.0,0.9897495190533212,0.9521471296589847,0.8313204087608831,0.9456425797734677,0.9742877740258543,0.8701753233085251,0.9310691962389485,0.9842254914261356
Rb1,0.6977950390113529,0.7205219466522154,0.7668940866950215,0.8805417505548849,-0.15116848527353238,0.38129525639556694,0.9529388638182134,0.8014630388654068,0.9194540269081626,0.7111051670925214,0.7608532385907983,0.9479127029057465,0.9511170460097671,0.9743789822765586,0.9290012172608543,0.9769543632807539,0.9897495190533212,1.0,0.9585165134335879,0.8523017178612746,0.9632800042291353,0.9813143532064242,0.8598796679099757,0.9500131998443866,0.9821543849799338
Lipe,0.7441158661141937,0.7798967515267888,0.8198504930938452,0.8911659657246943,-0.31057107687660784,0.5363699231597497,0.9640983416889557,0.8786300586747432,0.8935255818091692,0.7253685674581601,0.7764478517357442,0.8713301001508652,0.9847592801250725,0.935163077933703,0.9167259873399423,0.9597214055050378,0.9521471296589847,0.9585165134335879,1.0,0.7414487951604728,0.9736188965339057,0.9533302170672037,0.8255028369273116,0.9073549634603669,0.9504704670978229
Adrb2,0.6056787219923779,0.6752787132133193,0.7237053817839367,0.840468695444783,0.09120874890983044,0.326339901910211,0.8319733705985496,0.568610302997011,0.8108793344308171,0.787858917756096,0.6393743030594661,0.8120784221529878,0.7066856778448173,0.8796805411288698,0.6857893760895701,0.7458317589603154,0.8313204087608831,0.8523017178612746,0.7414487951604728,1.0,0.7315912474939116,0.7898926681085341,0.6940505397722847,0.8345324283177264,0.81289510152463
Adipoq,0.6433214726248617,0.6641354011908294,0.7105878355887271,0.8233513003213218,-0.241812647016377,0.3938579687532634,0.9197292771863009,0.8035571945518892,0.85116448666815,0.6154253604806447,0.6809242762532013,0.8726581727802534,0.9757101069765529,0.9092228329033459,0.8979402816744169,0.9630389393491038,0.9456425797734677,0.9632800042291353,0.9736188965339057,0.7315912474939116,1.0,0.9534248315845452,0.786541744684052,0.8979197746375316,0.9663788569897834
Sirt2,0.7195248951375988,0.7437385428965819,0.7708428587262531,0.864957342690164,-0.24067826863590278,0.3829464313676123,0.9450034681815115,0.8125076525932724,0.9192398759620972,0.6734547106819969,0.7893447857070736,0.9641894687058653,0.9428108711420335,0.9554720354700958,0.9642556269691951,0.9873876834804521,0.9742877740258543,0.9813143532064242,0.9533302170672037,0.7898926681085341,0.9534248315845452,1.0,0.9095139675825861,0.9647254365797514,0.9550427956963181
Foxo1,0.7189800622374767,0.7905945442008832,0.780202995732365,0.7548250333510079,-0.3218052221892288,0.44125979679624666,0.8773471572421158,0.8080483585163994,0.8654569129978525,0.6707251314294455,0.8727048921494768,0.9285491566251183,0.8204763495156483,0.8393866627709788,0.9510955682385586,0.9064872256525568,0.8701753233085251,0.8598796679099757,0.8255028369273116,0.6940505397722847,0.786541744684052,0.9095139675825861,1.0,0.9095132291650414,0.8067143913662908
Irs1,0.7496369979687075,0.7907575194477766,0.7907604176524158,0.8452601845125467,-0.23364549629059667,0.3687771908750375,0.942937750161436,0.747871974595142,0.8834194443474828,0.6970810656070349,0.776901667008869,0.9525318114458091,0.8959208082571721,0.9242646359000847,0.9176433583619428,0.938393434629499,0.9310691962389485,0.9500131998443866,0.9073549634603669,0.8345324283177264,0.8979197746375316,0.9647254365797514,0.9095132291650414,1.0,0.9015671124961607
Pparg,0.6489300603119271,0.6645518146578592,0.7440219781781859,0.8802357375125444,-0.1330050396163384,0.39028841870940667,0.9192249218393167,0.8146774377399917,0.9235825783350137,0.678802072214177,0.753824033004003,0.8873245331234673,0.9498973274974952,0.9573575261121371,0.9122057247800394,0.9590227709474954,0.9842254914261356,0.9821543849799338,0.9504704670978229,0.81289510152463,0.9663788569897834,0.9550427956963181,0.8067143913662908,0.9015671124961607,1.0
